OBJECTID,ZIPCODE,PO_NAME,POPULATION,AREA,COUNTY,CountBusinesses,Shape_Length,Shape_Area
139,11102,Astoria,33944.000000000000000,19116258.436919398605824,Queens,,21056.949501164086541,19116257.905993960797787
140,11370,East Elmhurst,40591.000000000000000,23600231.488030500710011,Queens,,28831.159359880999546,23600231.877728719264269
141,10021,New York,45299.000000000000000,10495133.408498700708151,New York,,14364.133126161053951,10495133.605549041181803
142,11358,Flushing,37743.000000000000000,54622541.085736699402332,Queens,,31560.349889434070064,54622541.222362011671066
143,11362,Little Neck,17707.000000000000000,54680551.219370998442173,Queens,,34988.067411384472507,54680550.734335899353027
144,10044,New York,11661.000000000000000,6296113.268842790275812,New York,,21449.371244517551531,6296113.738966523669660
145,11368,Corona,109069.000000000000000,72489663.284463003277779,Queens,,51118.001874310175481,72489662.274211809039116
146,11355,Flushing,82809.000000000000000,49383079.083944998681545,Queens,,33070.181686799158342,49383079.641888715326786
147,11364,Oakland Gardens,33937.000000000000000,84259665.052960097789764,Queens,,37488.676690927481104,84259664.815629065036774
148,10020,New York,0.000000000000000,697297.022400159970857,New York,,3612.203301097114945,697296.929528653388843
149,11005,Floral Park,3533.000000000000000,9075527.403747819364071,Queens,,15261.312995501775731,9075526.986031608656049
150,11109,Long Island City,2752.000000000000000,581237.150592920021154,Queens,,3415.571510913770908,581237.228042155038565
151,11367,Flushing,41773.000000000000000,72810151.588540107011795,Queens,,33506.127422252800898,72810151.856572225689888
152,10007,New York,7323.000000000000000,5327870.976761230267584,New York,,12770.859450571331763,5327870.737514132633805
153,11412,Saint Albans,35019.000000000000000,45842752.226072996854782,Queens,,30122.228599337900960,45842752.178004413843155
154,11251,Brooklyn,74.000000000000000,10245952.254242200404406,Kings,,30680.123793441332964,10245952.148386713117361
155,11411,Cambria Heights,18216.000000000000000,35889597.383400902152061,Queens,,27774.871465892909328,35889597.098948597908020
156,11208,Brooklyn,94410.000000000000000,79303684.263990998268127,Kings,,49824.072112315690902,79303683.479890003800392
157,11413,Springfield Gardens,39349.000000000000000,86208498.589068204164505,Queens,,54398.174234294921916,86208497.582004114985466
158,11422,Rosedale,30139.000000000000000,60120657.205539099872112,Queens,,55471.112492267071502,60120658.330675646662712
159,11430,Jamaica,16.000000000000000,199913664.288603007793427,Queens,,103039.276534110540524,199913664.363026648759842
160,11239,Brooklyn,12562.000000000000000,41794660.767196699976921,Kings,,36128.869139283138793,41794660.756820857524872
161,10301,Staten Island,40438.000000000000000,105182712.649568006396294,Richmond,,79638.651772356257425,105182712.460339635610580
162,10303,Staten Island,27048.000000000000000,81629773.517436906695366,Richmond,,54576.114340288637322,81629773.519194468855858
163,10302,Staten Island,18123.000000000000000,29555323.023374699056149,Richmond,,27432.568275971330877,29555323.182508934289217
164,11209,Brooklyn,69255.000000000000000,57842313.961227200925350,Kings,,37123.311724038838292,57842314.056609325110912
165,10304,Staten Island,41502.000000000000000,98226679.797327995300293,Richmond,,85662.261909212233149,98226680.853385865688324
166,10314,Staten Island,85430.000000000000000,473985727.130053997039795,Richmond,,126071.689004078667494,473985726.108318090438843
167,11096,Inwood,147.000000000000000,1512446.305489389924332,Queens,,5205.046605280806943,1512446.274473155615851
168,10305,Staten Island,41746.000000000000000,111441829.317708000540733,Richmond,,55569.950770689822093,111441827.984747484326363
169,11229,Brooklyn,79608.000000000000000,60119326.144269503653049,Kings,,43382.154395852056041,60119325.893754117190838
170,11691,Far Rockaway,60267.000000000000000,83927815.112347498536110,Queens,,70127.676380657008849,83927815.130744218826294
171,11096,Inwood,147.000000000000000,111973.733961840000120,Queens,,1455.213598257407057,111973.795361952739768
172,11692,Arverne,18018.000000000000000,23992395.381191801279783,Queens,,31672.577134112489148,23992395.338219825178385
173,11694,Rockaway Park,20163.000000000000000,48101606.614470399916172,Queens,,46740.383821258867101,48101606.914001218974590
